"tile","ref"
"NH65SW","NH6050"
"NH78NW","NH7085"
"NH79SW","NH7090"
"NN60NW","NN6005"
"NN60SE","NN6500"
"NO10NW","NO1005"
"NO26SW","NO2060"
"NO37NW","NO3075"
"NO38SE","NO3580"
"NO56SE","NO5560"
"NO66NW","NO6065"
"NS45NE","NS4555"
"NS55SW","NS5050"
"NS67SW","NS6070"
"NS88SE","NS8580"
"NT06NE","NT0565"
"NT08NW","NT0085"
"NT26NW","NT2065"
"NV84SW","NV8040"
"NV96NE","NV9565"
"NW42SW","NW4020"
"NW43SE","NW4530"
"NX14NW","NX1045"
"NX95SE","NX9550"
"NY15NW","NY1055"
"NY15SW","NY1050"
"NY42NE","NY4525"
"NY53SW","NY5030"
"NZ06SW","NZ0060"
"NZ13SW","NZ1030"
"NZ15NW","NZ1055"
"NZ24NE","NZ2545"
"NZ25SE","NZ2550"
"NZ34NW","NZ3045"
"NZ36SE","NZ3560"
"SB38NW","SB3085"
"SD08NE","SD0585"
"SD09NE","SD0595"
"SD17NE","SD1575"
"SD17SE","SD1570"
"SD20SE","SD2500"
"SD21SE","SD2510"
"SD27NW","SD2075"
"SD27SW","SD2070"
"SD31SW","SD3010"
"SD40NW","SD4005"
"SD41SW","SD4010"
"SD46SE","SD4560"
"SD52NW","SD5025"
"SD70NW","SD7005"
"SD71SW","SD7010"
"SE14NE","SE1545"
"SE14SW","SE1040"
"SE21SE","SE2510"
"SE27NE","SE2575"
"SE28SE","SE2580"
"SE30NW","SE3005"
"SE35NW","SE3055"
"SE42NW","SE4025"
"SE43SW","SE4030"
"SE63SW","SE6030"
"SE77NW","SE7075"
"SE81NE","SE8515"
"SE81SE","SE8510"
"SH35NE","SH3555"
"SH36SE","SH3560"
"SJ07SW","SJ0070"
"SJ08SE","SJ0580"
"SJ16NE","SJ1565"
"SJ18SE","SJ1580"
"SJ18SW","SJ1080"
"SJ26NW","SJ2065"
"SJ33NW","SJ3035"
"SJ34NW","SJ3045"
"SJ35SW","SJ3050"
"SJ47SW","SJ4070"
"SJ57SW","SJ5070"
"SJ58SW","SJ5080"
"SJ63SE","SJ6530"
"SJ75NW","SJ7055"
"SJ75SW","SJ7050"
"SJ91NE","SJ9515"
"SK01SW","SK0010"
"SK21SE","SK2510"
"SK28SE","SK2580"
"SK33SE","SK3530"
"SK38SW","SK3080"
"SK44NW","SK4045"
"SK54NW","SK5045"
"SK58NW","SK5085"
"SK65SE","SK6550"
"SK71NE","SK7515"
"SK97NE","SK9575"
"SN50NE","SN5505"
"SN50SE","SN5500"
"SN55SE","SN5550"
"SO04NW","SO0045"
"SO04SW","SO0040"
"SO05NE","SO0555"
"SO05NW","SO0055"
"SO05SW","SO0050"
"SO21SE","SO2510"
"SO31SE","SO3510"
"SO34NE","SO3545"
"SO34SE","SO3540"
"SO53NW","SO5035"
"SO55SE","SO5550"
"SO70SW","SO7000"
"SO73NE","SO7535"
"SO74SE","SO7540"
"SO98NW","SO9085"
"SO98SW","SO9080"
"SO99NW","SO9095"
